setting,seed,eval_time,state_bin,n_eval_cells,mean_g,median_g,std_g,frac_positive
equal_depth,42,1.0,0,13,0.12350230664014816,0.10169387608766556,0.08337220549583435,1.0
equal_depth,42,1.0,1,152,0.08201930671930313,0.0764494314789772,0.19736814498901367,0.6578947368421053
equal_depth,42,1.0,2,203,0.11809658259153366,0.13023832440376282,0.09805818647146225,0.9064039408866995
equal_depth,42,1.0,3,109,-0.1384527087211609,-0.15298336744308472,0.17041324079036713,0.26605504587155965
equal_depth,42,1.0,4,7,0.7340607047080994,0.708891749382019,0.199483260512352,1.0
equal_depth,42,1.0,5,6,-0.41247081756591797,-0.4256969690322876,0.09633004665374756,0.0
equal_depth,42,1.0,6,309,-0.0014007309218868613,0.005064524710178375,0.10786554962396622,0.5339805825242718
equal_depth,42,1.0,7,1,0.5022027492523193,0.5022027492523193,0.0,1.0
equal_depth,42,2.0,0,171,0.013325391337275505,-0.0062881335616111755,0.12369117885828018,0.4619883040935672
equal_depth,42,2.0,1,334,0.0057376231998205185,-0.01724831759929657,0.09577503055334091,0.4281437125748503
equal_depth,42,2.0,2,128,-0.07292531430721283,-0.08221401274204254,0.0659841001033783,0.125
equal_depth,42,2.0,3,27,-0.0047466326504945755,-0.006442278623580933,0.12721066176891327,0.4444444444444444
equal_depth,42,2.0,4,116,0.37574201822280884,0.39239269495010376,0.1100759208202362,1.0
equal_depth,42,2.0,5,0,,,,
equal_depth,42,2.0,6,8,-0.07305055856704712,-0.07155850529670715,0.05189049243927002,0.125
equal_depth,42,2.0,7,16,0.05639968439936638,0.029362022876739502,0.08865885436534882,0.625
equal_depth,42,3.0,0,132,0.11619160324335098,0.07031064480543137,0.19513127207756042,0.7196969696969697
equal_depth,42,3.0,1,359,-0.09747084230184555,-0.10439856350421906,0.12141615152359009,0.23119777158774374
equal_depth,42,3.0,2,72,-0.13443651795387268,-0.16849859058856964,0.13683922588825226,0.1527777777777778
equal_depth,42,3.0,3,39,0.013835935853421688,-0.01874767616391182,0.13471262156963348,0.48717948717948717
equal_depth,42,3.0,4,141,-0.12927491962909698,-0.13565456867218018,0.07776245474815369,0.04964539007092199
equal_depth,42,3.0,5,0,,,,
equal_depth,42,3.0,6,0,,,,
equal_depth,42,3.0,7,57,0.07755468785762787,0.06965578347444534,0.13004088401794434,0.6666666666666666
equal_depth,42,4.0,0,207,0.46364426612854004,0.42970994114875793,0.35433557629585266,0.9130434782608695
